name,country,currentFormPoints
Gerard Greene,Northern Ireland,1358.4815333564723
Scott Donaldson,Scotland,1519.2307978596343
Alfie Burden,England,1421.9808941256
Ricky Walden,England,1726.745269970739
Ronnie O'Sullivan,England,1992.8597305631897
Mark Davis,England,1599.9631972167192
George Pragnell (II),England,1346.4939683444813
Sanderson Lam,England,1493.114660731416
Marco Fu,Hong Kong,1486.1564615106977
Lyu Haotian,China,1723.1678623844964
Andrew Higginson,England,1597.7022758692913
Chris Wakelin,England,1689.4511297578222
Liam Pullen,England,1427.4891804460804
Duane Jones,Wales,1303.5649591361368
Ryan Davies,England,1418.2995582708543
Graeme Dott,Scotland,1561.131158978773
Dean Young,Scotland,1245.2015213443024
Tom Ford,England,1539.4584365343237
Judd Trump,England,1869.3915113032112
Asjad Iqbal,Pakistan,1322.7658504524743
Ian Martin,England,1160.080893493427
Stephen Hendry,Scotland,1327.4156703762
Alexander Ursenbacher,Switzerland,1413.3609702801016
Tian Pengfei,China,1554.6083926428273
Sam Craigie,England,1544.254500071724
Bulcsú Révész,Hungary,1307.82325849178
Michael Holt,England,1391.7411000691006
Daniel Wells,Wales,1558.105298427657
Ken Doherty,Ireland,1373.4413376385442
Pang Junxu,China,1885.4187684970263
Liam Graham,Scotland,1315.501064798421
Brad Ferguson,Wales,1380.744110437627
Ryan Day,Wales,1808.4768869020486
Fan Zhengyi,China,1631.0781380068056
Florian Nüßle,Austria,1513.3528234800328
Stuart Carrington,England,1326.033602469393
Martin O'Donnell,England,1557.1670971828098
Lee Stephens,England,1388.3724846006085
Ross Muir,Scotland,1283.7031319628745
John Astley,England,1583.8860784268309
Siripaporn Nuanthakhamjan,Thailand,1326.3110982517335
Mark Williams,Wales,1796.9835028449183
Mohamed Ibrahim,Egypt,1187.305248009509
Luca Brecel,Belgium,2265.8618249844953
Jimmy Robertson,England,1659.1137228228517
Rebecca Kenna,England,1027.4660803800166
Fergal O'Brien,Ireland,1341.1349186604753
David Lilley,England,1483.213337910345
Gary Wilson,England,1856.3765008898702
Michael White,Wales,1524.0612091484838
Riley Powell,Wales,1499.9348343248332
Yuan Sijun,China,1622.6030145413647
Fraser Patrick,Scotland,1371.8754509325
Yan Bingtao,China,1822.1879106889326
Lukas Kleckers,Germany,1483.7357192832603
Jamie O'Neill,England,1365.9419622542082
Dechawat Poomjaeng,Thailand,1408.4515971474693
Oliver Lines,England,1497.914726698918
Jianbo Zhao,China,1589.265669624006
Dominic Dale,Wales,1449.1225255760166
Jamie Clarke,Wales,1443.5269587406415
Michael Judge,Ireland,1149.3144879595689
Ashley Hugill,England,1463.3550208972629
Ian Burns,England,1383.3828630351304
Jack Lisowski,England,1801.9661325054008
Louis Heathcote,England,1529.6536236422642
Peter Devlin,England,1467.810649324301
Zhao Xintong,China,1673.0676528046192
Hammad Miah,England,1253.6966282082576
Jack Borwick,Scotland,1489.1924075117402
Robert Milkins,England,1672.6633066699362
Jenson Kendrick,England,1049.3598152126303
Aaron Hill,Ireland,1478.965517108505
Ben Woollaston,England,1514.4951471688967
Luke Simmonds,England,1350.538690537882
Allan Taylor,England,1447.854073061019
Andy Hicks,England,1440.2411207140044
Stephen Maguire,Scotland,1549.3022432810285
Zhang Anda,China,1690.2357809327814
Jak Jones,Wales,1993.684386388176
Shaun Murphy,England,2156.607686798817
Rod Lawler,England,1496.402946867553
Mohammed Asif,Pakistan,1212.3318991062542
Mark King,England,1297.7740832227119
Robbie Williams,England,1605.7055213188144
Rory McLeod,Jamaica,1446.495704356731
Harvey Chandler,England,1393.1591256626373
Matthew Stevens,Wales,1657.4685432223746
Jackson Page,Wales,1710.121529490465
Ben Hancorn,England,1503.022569801159
Mitchell Mann,England,1234.8144640783319
Victor Sarkis,Brazil,1145.1420230844533
Ma Hailong,China,1339.0381590919258
Cao Yupeng,China,1595.9274588282617
David Grace,England,1721.3944872890775
Wu Yize,China,1768.4676515169494
Robbie Mcguigan,Northern Ireland,1350.6167235827425
Bai Langning,China,1342.4797759829862
Steven Hallworth,England,1452.0310481594047
Joe Perry,England,1618.6448862738732
Lewis Ullah,England,1333.4542952670517
Joel Connolly Jnr,Northern Ireland,1354.212951944008
Farakh Ajaib,England,1227.1015427988496
