name,country,currentFormPoints,currentFormPointsAfter2025-2026
Andy Hicks,England,1440.2411207140044,1495.756032771652
Stephen Maguire,Scotland,1549.3022432810285,1811.9788057934165
Zhang Anda,China,1690.2357809327814,2048.9698328524546
Jak Jones,Wales,1993.684386388176,2028.0802825345452
Shaun Murphy,England,2156.607686798817,2170.4726804960173
Rod Lawler,England,1496.402946867553,1259.6806419002312
Mohammed Asif,Pakistan,1212.3318991062542,1193.3781304509944
Mark King,England,1297.7740832227119,1297.7740832227119
Robbie Williams,England,1605.7055213188144,1627.4576124220182
Rory McLeod,Jamaica,1446.495704356731,1335.4002841222896
Harvey Chandler,England,1393.1591256626373,1364.5451328262495
Matthew Stevens,Wales,1657.4685432223746,1570.2771999794322
Jackson Page,Wales,1710.121529490465,1805.8371674513983
Ben Hancorn,England,1503.022569801159,1503.022569801159
Mitchell Mann,England,1234.8144640783319,1530.4251020975328
Victor Sarkis,Brazil,1145.1420230844533,865.8958405546853
Ma Hailong,China,1339.0381590919258,1483.7750414118364
Cao Yupeng,China,1595.9274588282617,1774.4705532682763
David Grace,England,1721.3944872890775,1707.366591956335
Wu Yize,China,1768.4676515169494,2315.940719600528
Robbie Mcguigan,Northern Ireland,1350.6167235827425,1377.8218064102575
Bai Langning,China,1342.4797759829862,1342.4797759829862
Steven Hallworth,England,1452.0310481594047,1498.8594748070616
Joe Perry,England,1618.6448862738732,1611.519593196115
Lewis Ullah,England,1333.4542952670517,1253.277857230142
Joel Connolly Jnr,Northern Ireland,1354.212951944008,1191.2380323299762
Farakh Ajaib,England,1227.1015427988496,1365.7479386795983
Zak Surety,England,1323.3723330050598,1838.509143848759
Mark Selby,England,2041.0139304841912,2370.5806561103727
Adam Duffy,England,1312.3014624641569,1214.279204537732
Iulian Boiko,Ukraine,1565.713075469788,1579.3688977424295
Amaan Iqbal,Scotland,1337.252084154303,1084.4693888632974
